,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1472,20170320X74630,ENG17IA017,2017-03-19,"Dayton, OH",Non-Fatal,N881GA,2.0,Turbo Fan,0.0,0.0,0.0,163.0,163.0,Mcdonnell Douglas: DC 9 83
1474,20170328X20623,DCA17WA080,2017-03-27,"Ardabil, Iran (Islamic Republic of)",Non-Fatal,EP-TBJ,,,0.0,0.0,0.0,185.0,185.0,Boeing: 737
1481,20170424X40402,DCA17WA097,2017-04-17,"Amsterdam, Netherlands (the)",Non-Fatal,VT-JEW,,,0.0,0.0,0.0,358.0,358.0,Boeing: 777
1485,20170508X85232,DCA17CA111,2017-05-02,"Boston, MA",Non-Fatal,N595JB,2.0,Turbo Fan,0.0,0.0,1.0,154.0,155.0,Airbus: A320 232
1489,20170523X12020,DCA17LA122,2017-05-21,"Raleigh, NC",Non-Fatal,N633DL,2.0,Turbo Fan,0.0,0.0,0.0,186.0,186.0,Boeing: 757
1490,20170523X15143,DCA17CA123,2017-05-22,"South Toledo Bend, TX",Non-Fatal,N512NK,2.0,Turbo Fan,0.0,2.0,1.0,139.0,142.0,Airbus: A319 132
1492,20170530X51257,DCA17WA126,2017-05-23,"Multan, Pakistan",Non-Fatal,AP-BGK,,,0.0,0.0,0.0,135.0,135.0,Boeing: 777
1502,20170608X90705,ENG17IA027,2017-06-03,"Washington, DC",Non-Fatal,N765SW,2.0,Turbo Fan,0.0,0.0,0.0,67.0,67.0,Boeing: 737 7H4
1507,20170607X22245,ENG17IA026,2017-06-07,"Tokyo, Japan",Non-Fatal,N668US,4.0,Turbo Fan,0.0,0.0,0.0,326.0,326.0,Boeing: 747 451
1508,20170612X10422,ENG17IA028,2017-06-10,"Chicago, IL",Non-Fatal,N715SK,2.0,Turbo Fan,0.0,0.0,0.0,64.0,64.0,Bombardier: CL 600 2C10
1509,20170615X11123,DCA17WA141,2017-06-13,"Jakarta, Indonesia",Non-Fatal,9M-MXH,,,0.0,0.0,0.0,67.0,67.0,Boeing: 737
1512,20170625X04604,DCA17LA145,2017-06-23,"Atlanta, GA",Non-Fatal,N315DN,2.0,Turbo Fan,0.0,0.0,0.0,199.0,199.0,Airbus: A321
1515,20170703X71412,DCA17CA147,2017-07-01,"Chicago, IL",Non-Fatal,N991AU,2.0,Turbo Fan,0.0,0.0,0.0,189.0,189.0,Airbus: A321 231
